Feature,Importance
LoginFrequency,0.13588421513665921
AvgAmountSpent,0.13339904217109025
TotalAmountSpent,0.1013867690773129
CustomerTenureDays,0.09919935496501642
DaysSinceLastLogin,0.09471304623049233
DaysSinceLastTransaction,0.08915945570857964
Age,0.07706780353841565
MaxAmountSpent,0.06165425739373196
SpendingVolatility,0.054292513483918475
TotalServiceInteractions,0.02204269139735691
TotalTransactions,0.02044811160816955
PrefersClothing,0.016026443608842443
IncomeHigh,0.013889586920900693
CategoryDiversity,0.01297875947050066
IncomeLow,0.012774488343693147
ServiceResolutionRate,0.012014325781075506
IsDivorced,0.007612957558124246
IsMale,0.006948547198998104
IsMarried,0.006613657163477751
ComplaintRatio,0.006064233482182924
UsesMobileApp,0.005323598096775066
UsesWebsite,0.003488376017610484
PrefersElectronics,0.003069340560256761
ComplaintCount,0.0022518067882438563
HasUnresolvedComplaint,0.0016966182985751078
