Feature,MeanAbsSHAP
CustomerTenureDays,0.033901174986829576
LoginFrequency,0.023186800686916274
TotalAmountSpent,0.02019371632006278
AvgAmountSpent,0.01624803864076611
DaysSinceLastLogin,0.01602775147420726
DaysSinceLastTransaction,0.015114518181886534
Age,0.011667787935250817
MaxAmountSpent,0.011081867908161624
TotalServiceInteractions,0.007826806320868131
PrefersClothing,0.006895310101856008
IncomeLow,0.006785207052147049
IncomeHigh,0.006487108353934668
SpendingVolatility,0.004847665482818051
IsMale,0.0043944583959644665
IsMarried,0.0027592709126363856
TotalTransactions,0.0023896622740514433
ServiceResolutionRate,0.002288169559723611
CategoryDiversity,0.0020902304924391504
UsesMobileApp,0.0013927145319528797
ComplaintRatio,0.0013551555772126447
IsDivorced,0.0013541265320545788
ComplaintCount,0.0008374031494357051
PrefersElectronics,0.0006710119841700362
UsesWebsite,0.0005108545709379541
HasUnresolvedComplaint,0.0002868342924615717
